Specifier,filename,Parameter
Spacebar,XDA Spacebar 9.5mm v1.f3d,Width Travel
(ISO|Bigass)_Enter,XDA ISO Bigass Enter 9.5mm v3.f3d,Width1 Width2 Depth1 Depth2 Width Travel
\d*u,XDA Keycap 9.5mm v2.f3d,Width Travel
