Specifier,z_angle,scale_plane_xy
Vertical 2u,90 deg,1.6
1u,90 deg,1.6
125u,180 deg,3.9
15u,180 deg,4.0
175u,180 deg,4.0
2u,180 deg,4.0
225u,180 deg,3.85
275u,180 deg,3.35
625u,0 deg,2.7
