Specifier,filename,Parameter
LED,PCB-Choc-LED.png,Col_L_X Col_L_Y Col_L_Angle Col_R_X Col_R_Y Col_R_Angle Row_L_X Row_L_Y Row_L_Angle Row_R_X Row_R_Y Row_R_Angle SwitchAngle
.*,PCB-Choc.png,Col_L_X Col_L_Y Col_L_Angle Col_R_X Col_R_Y Col_R_Angle Row_L_X Row_L_Y Row_L_Angle Row_R_X Row_R_Y Row_R_Angle SwitchAngle
