Specifier,z_angle,scale_plane_xy
1u,90 deg,2.1
125u,90 deg,2.4
15u,90 deg,2.5
175u,90 deg,2.5
R[1234] 2u,90 deg,2.4
225u,90 deg,2.7
275u,90 deg,2.75
625u,0 deg,2.8
