Specifier,Width1,Width2,Depth1,Depth2,Width,TopHeight,ParameterA,SwitchX,SwitchY,SwitchAngle,UseStabilizer
ISO_Enter,27.5 mm,22.75 mm,18 mm,19 mm,27.5 mm,8 mm,23.8 mm,2.375 mm,0 mm,-90 deg,1 mm
Bigass_Enter,27.5 mm,41.75 mm,19 mm,18 mm,41.75 mm,8 mm,23.8 mm,0 mm,-9.25 mm,0 deg,1 mm
