Specifier,filename,Parameter
Spacebar,OEM Spacebar v4.f3d,Width Travel
Vertical,OEM Keycap v3.f3d,Depth Travel TopHeight TopAngle LayoutAngle
.*u,OEM Keycap v3.f3d,Width Travel TopHeight TopAngle
