Specifier,z_angle,scale_plane_xy
1u,0 deg,1.9
125u,0 deg,2.2
15u,0 deg,2.35
175u,0 deg,2.4
2u,0 deg,2.5
225u,0 deg,2.6
275u,0 deg,2.66
625u,0 deg,2.78
