Specifier,Width1,Width2,Depth1,Depth2,Width,ParameterA,SwitchX,SwitchY,SwitchAngle,UseStabilizer
ISO_Enter,28 mm,23 mm,18 mm,19 mm,28 mm,23.8 mm,2.375 mm,0 mm,-90 deg,1 mm
Bigass_Enter,27.5 mm,46.5 mm,19 mm,18 mm,46.5 mm,23.8 mm,0 mm,-9.25 mm,0 deg,1 mm
